Label,X_max,X_min,X_Aver,X_Median,X_Variance,X_StandardDeviation,X_MedianAbsoluteDeviation,X_RootMeanSquare,Y_max,Y_min,Y_Aver,Y_Median,Y_Variance,Y_StandardDeviation,Y_MedianAbsoluteDeviation,Y_RootMeanSquare,Z_max,Z_min,Z_Aver,Z_Median,Z_Variance,Z_StandardDeviation,Z_MedianAbsoluteDeviation,Z_RootMeanSquare,X-Y_max,X-Y_min,X-Y_Aver,X-Y_Median,X-Y_Variance,X-Y_StandardDeviation,X-Y_MedianAbsoluteDeviation,X-Y_RootMeanSquare,Y-Z_max,Y-Z_min,Y-Z_Aver,Y-Z_Median,Y-Z_Variance,Y-Z_StandardDeviation,Y-Z_MedianAbsoluteDeviation,Y-Z_RootMeanSquare,Z-X_max,Z-X_min,Z-X_Aver,Z-X_Median,Z-X_Variance,Z-X_StandardDeviation,Z-X_MedianAbsoluteDeviation,Z-X_RootMeanSquare
4,15.295944,-9.444443,3.276019947,6.813492,40.9924339,6.402533397,2.6517336,7.19199142,-2.318863,-12.2331085,-6.468751381,-6.0048676,2.837259181,1.68441657,1.186615,6.684459859,5.7960815,-5.703491,1.024483417,2.4778442,9.245047059,3.040566898,1.5650938,3.208521985,17.614807,-2.2029727,9.744771328,11.9447632,29.00264188,5.385410094,1.9602356,11.13387669,-1.504654,-14.8668668,-7.493234797,-7.86381576,7.24830983,2.692268529,1.58651674,7.962215619,7.7578278,-11.253006,-2.25153653,-3.8321995,17.82993531,4.222550806,1.8316952,4.785326745
4,9.281937,-9.672958,-4.306792583,-7.7674713,36.78717994,6.065243601,1.0247497,7.438793066,3.3499908,-9.540909,-4.005641468,-4.276718,11.25636201,3.355050225,2.2399293,5.22508618,7.467102,-5.5820923,-0.503463448,-1.9913025,15.85284851,3.981563576,1.6567383,4.013268487,17.623138,-11.5054622,-0.301151114,-3.3431697,75.36707062,8.681421002,3.8359683,8.68664277,8.7440338,-15.227493,-3.502178021,-2.2021028,48.76076584,6.982890937,4.35131824,7.811915049,8.60047867,-2.981217,3.803329135,4.4407806,6.431870663,2.536113298,1.5948486,4.571343694
4,12.200272,-12.084274,-0.771214137,-3.8886566,53.42773692,7.309427947,4.9154664,7.350000555,4.261673,-11.140518,-4.675098852,-6.413101,18.3348787,4.281924649,1.578186,6.339670968,3.822754,-6.716339,-0.845756439,-0.037017822,6.050170614,2.459709457,0.871215822,2.601052588,20.526001,-15.8960568,3.903884715,3.4718324,111.797057,10.57341274,9.8464049,11.2710857,10.4126738,-14.1337126,-3.829342413,-6.75575257,43.61809779,6.604399881,1.81979373,7.634262316,6.640243,-11.2113499,-0.074542302,2.9244842,33.45427295,5.783966887,2.41012563,5.784447208
4,4.730667,-16.239212,-0.264180046,1.3481598,22.33920244,4.726436548,1.10330201,4.733813847,-1.5297699,-11.682053,-7.892351175,-8.664932,4.626747246,2.150987505,0.778382,8.180217253,10.7413025,-15.683197,-1.559024069,-0.7285156,18.14813285,4.260062541,0.753387426,4.536373981,15.302276,-9.4333496,7.628171128,9.7964782,31.0019356,5.567938182,2.0994869,9.444094999,7.203934,-12.5876618,-6.333327105,-8.145889,17.23816567,4.151887001,1.16400177,7.572925319,10.74400331,-5.21400455,-1.294844023,-1.90171808,10.91276244,3.303447054,1.38656612,3.548152123
4,1.0577545,-13.572006,-5.685897082,-6.3904266,9.733348362,3.119831464,1.6626892,6.485582008,9.938858,-13.125748,-1.749050288,-1.754715,45.42655849,6.739922737,6.581726,6.963169925,3.7263489,-11.91745,-1.216205455,-1.007019,11.02796669,3.320838251,2.059021,3.536541022,12.7767025,-21.773193,-3.936846794,-4.7475893,77.34342448,8.794511043,6.0556638,9.635465072,19.932968,-16.737839,-0.532844833,-0.9952546,95.65350672,9.780261076,8.5324403,9.794765456,12.9279938,-2.36113,4.469691626,4.0539703,7.532172896,2.744480442,1.3699035,5.245027753
4,5.0782013,-16.22374,-2.886640924,-1.8808136,18.42677131,4.29264153,2.25064087,5.172955358,7.32164,-14.235001,-7.026302883,-8.83989,22.86657426,4.781900695,1.35086,8.499147396,4.401184,-4.977478,0.555332999,1.1531677,3.384272074,1.839639115,0.4070435,1.92163129,16.9114073,-16.595886,4.139661959,7.153076,64.76160149,8.047459319,3.5015256,9.049773623,12.190811,-18.2910313,-7.581635883,-10.0454259,40.3344946,6.350944386,1.3782347,9.890181862,16.7306363,-2.8752899,3.441973923,2.8947296,11.97070189,3.459870213,0.7081604,4.880357198
4,5.878006,-16.535568,-4.457731017,-5.108597,20.57392309,4.535848663,3.294433,6.359661069,7.558487,-14.797958,-4.956193555,-7.406906,35.31137197,5.942337248,2.945709,7.737908408,5.092682,-6.412842,0.070490578,1.3507385,6.663311767,2.581339142,0.8557435,2.582301433,20.675964,-17.1017155,0.498462538,1.2271423,94.88359291,9.740820956,6.78286736,9.753566415,13.8404084,-19.072983,-5.026684133,-8.36726394,71.15465466,8.435321847,4.0323488,9.819481047,15.3369291,-2.0790558,4.528221595,3.7433319,10.44248649,3.231483636,1.3234863,5.56302771
4,8.684368,-18.127699,-1.654183903,1.0073603,22.42772599,4.735792013,1.3419501,5.016378213,19.612701,-16.914436,-6.986974865,-9.780912,35.72615221,5.977135787,0.326808,9.194779496,8.388085,-6.1195793,0.872937906,0.427365,4.472132567,2.114741726,1.33955585,2.287827169,25.598804,-31.27366,5.332790962,10.8906247,107.4440043,10.36551997,2.7263981,11.65687195,11.224616,-15.5497417,-7.859912771,-9.7264446,26.68869335,5.166110079,0.8762782,9.405685627,20.811599,-14.7937713,2.527121809,-0.46387656,40.62148345,6.373498525,3.29741451,6.856225498
4,10.345944,-19.6133,-2.306837493,-1.0965444,29.94668413,5.47235636,2.7611132,5.93870216,14.639945,-19.6133,-6.170559095,-8.637083,37.62337475,6.133789591,1.4496893,8.700527242,7.8835077,-9.721058,0.974246618,0.6254852,7.765998318,2.786754083,1.52809926,2.952144101,28.241404,-29.006951,3.863721602,7.0533176,124.606962,11.16274885,4.3299147,11.81250636,9.338584,-14.7135667,-7.144805713,-9.304466,31.44308571,5.60741346,1.4903907,9.082474023,23.2776257,-20.067002,3.281084111,4.469376,54.16819484,7.35990454,5.8041432,8.058145431
4,9.844957,-19.6133,-3.34919783,-4.573524,33.97395749,5.82871834,4.336498,6.722431375,19.612701,-15.920843,-4.098778523,-5.6826377,42.17412592,6.494160909,3.8319203,7.679460352,6.8492126,-6.3045316,1.197977934,2.0069396,6.981896243,2.642327808,1.9877859,2.90121481,25.507226,-34.229302,0.749580693,1.6274584,143.2696183,11.96952874,10.3639011,11.99297668,15.002067,-13.9091153,-5.296756456,-7.8188647,35.57609726,5.964570166,3.2710773,7.976949681,22.3827929,-16.1494886,4.547175764,7.608773,61.00167509,7.810356912,3.5715496,9.037614869
